,uqv_5,tts_s3,kis_s3,qcmcqg_tts_s6,qcmcqg_tts_s7,qcmcqg_tts_s8
1,4.397956876036156,3.187635064004255,5.241357376912698,4.7398615293459425,5.22448335924139,3.732097937078314
2,6.480408436040632,4.6146757120524455,7.602010169845466,7.052618558178798,7.591062829396205,5.606096020845379
3,7.979718341888082,5.6991270573385835,9.408756146273992,8.736028726794736,9.340983797279545,7.079490483908291
4,9.179180647417587,6.594497142888635,10.905709224441216,10.154025257757214,10.842777401880442,8.207681116936486
5,10.137181971493685,7.38969620759759,12.26099982142982,11.357265589284653,12.047452217998,9.120826238696344
6,11.110931238293198,8.123616400296662,13.439108664355109,12.487937076910674,13.209671645438782,9.98767608043796
7,11.945720373539862,8.817147146067851,14.540402175864562,13.558041300618914,14.36757476278635,10.830904990312133
8,12.821230646929076,9.498202738645436,15.64168667006993,14.545594249417539,15.365542081304302,11.660234992139944
9,13.591668863351416,10.110022191270577,16.636867538085745,15.372221098357475,16.228578640274296,12.359501005358375
10,14.296416358633547,10.673829050263885,17.589098671054188,16.2492113527876,17.137288851880704,13.04206536210111
20,19.67385682577834,14.97067863721344,25.09715403171227,22.34121367613107,23.92601937432322,18.29124720883615
30,23.500433629069306,18.350391901276385,30.786476660481426,26.969345465211646,29.258877680008297,22.252625967357044
40,26.709274014618682,21.11949751006148,35.54621815902315,30.755369719012556,33.50813144236153,25.46915249916573
50,29.316691674646318,23.409266242590693,39.567232922033966,33.970054679393485,37.11349628360261,28.13549936360044
60,31.611552884567427,25.609440558933002,42.90437891799231,36.67365032892614,40.18557696721843,30.442687187089085
70,33.63991927705428,27.640105813188676,46.09644361992835,39.15114941871136,42.89607356511925,32.53293771257122
80,35.427008954021154,29.426195626401718,48.876296104228594,41.34560338255412,45.396813992139634,34.41136511417972
90,37.20348096424676,31.037489220936617,51.38863849126567,43.33840876385762,47.55073695825435,36.060985814552716
100,38.82008418262992,32.531416901918895,53.63460163511897,45.24804999780209,49.598906470970675,37.60575999247687
